animal	treatment	genetics	tank	dose	TE	Binary							
212	1	2	10	2	4	1							
213	1	2	10	2	4	1							
214	1	2	10	2	4	1							
215	1	2	10	2	4	1							
216	1	2	10	2	4	1							
217	1	2	10	2	4	1							
218	1	2	10	2	4	1							
219	1	2	10	2	5	1							
220	1	2	10	2	5	1							
221	1	2	10	2	5	1							
222	1	2	10	2	5	1							
223	1	2	10	2	5	1							
224	1	2	10	2	5	1							
225	1	2	10	2	5	1							
226	1	2	10	2	5	1							
227	1	2	10	2	5	1							
228	1	2	10	2	6	0							
229	1	2	10	2	6	0							
230	1	2	10	2	6	0							
231	1	2	10	2	6	0							
232	1	2	10	2	6	0							
233	1	2	10	2	6	0							
234	1	2	10	2	6	0							
235	1	2	10	2	6	0							
236	1	2	10	2	6	0							
237	1	2	10	2	6	0							
238	1	2	10	2	6	0							
239	1	2	10	2	6	0							
240	1	2	10	2	6	0							
241	1	1	11	2	3	1							
242	1	1	11	2	3	1							
243	1	1	11	2	3	1							
244	1	1	11	2	3	1							
245	1	1	11	2	3	1							
246	1	1	11	2	3	1							
247	1	1	11	2	3	1							
248	1	1	11	2	3	1							
249	1	1	11	2	3	1							
250	1	1	11	2	3	1							
251	1	1	11	2	3	1							
252	1	1	11	2	3	1							
253	1	1	11	2	3	1							
254	1	1	11	2	4	1							
255	1	1	11	2	4	1							
256	1	1	11	2	4	1							
257	1	1	11	2	4	1							
258	1	1	11	2	4	1							
259	1	1	11	2	4	1							
260	1	1	11	2	4	1							
261	1	1	11	2	4	1							
262	1	1	11	2	4	1							
263	1	1	11	2	5	1							
264	1	1	11	2	5	1							
265	1	1	11	2	5	1							
266	1	1	11	2	5	1							
267	1	1	11	2	5	1							
268	1	1	11	2	5	1							
269	1	1	11	2	5	1							
270	1	1	11	2	5	1							
271	1	1	11	2	5	1							
272	1	1	11	2	5	1							
273	1	1	11	2	5	1							
274	1	1	11	2	6	0							
275	1	1	11	2	6	0							
276	1	1	11	2	6	0							
277	1	1	11	2	6	0							
278	1	1	11	2	6	0							
279	1	1	11	2	6	0							
280	1	1	11	2	6	0							
281	1	1	11	2	6	0							
282	1	1	11	2	6	0							
283	1	1	11	2	6	0							
284	1	1	11	2	6	0							
285	1	1	11	2	6	0							
286	1	1	11	2	6	0							
287	1	1	11	2	6	0							
288	1	1	11	2	6	0							
289	1	1	12	2	3	1							
290	1	1	12	2	3	1							
291	1	1	12	2	3	1							
292	1	1	12	2	3	1							
293	1	1	12	2	3	1							
294	1	1	12	2	3	1							
295	1	1	12	2	3	1							
296	1	1	12	2	3	1							
297	1	1	12	2	3	1							
298	1	1	12	2	3	1							
299	1	1	12	2	3	1							
300	1	1	12	2	4	1							
301	1	1	12	2	4	1							
302	1	1	12	2	4	1							
303	1	1	12	2	4	1							
304	1	1	12	2	4	1							
305	1	1	12	2	4	1							
306	1	1	12	2	4	1							
307	1	1	12	2	4	1							
308	1	1	12	2	4	1							
309	1	1	12	2	4	1							
310	1	1	12	2	4	1							
311	1	1	12	2	5	1							
312	1	1	12	2	5	1							
313	1	1	12	2	5	1							
314	1	1	12	2	5	1							
315	1	1	12	2	5	1							
316	1	1	12	2	5	1							
317	1	1	12	2	5	1							
318	1	1	12	2	5	1							
319	1	1	12	2	5	1							
320	1	1	12	2	5	1							
321	1	1	12	2	5	1							
322	1	1	12	2	5	1							
323	1	1	12	2	5	1							
324	1	1	12	2	5	1							
325	1	1	12	2	5	1							
326	1	1	12	2	5	1							
327	1	1	12	2	5	1							
328	1	1	12	2	6	0							
329	1	1	12	2	6	0							
330	1	1	12	2	6	0							
331	1	1	12	2	6	0							
332	1	1	12	2	6	0							
333	1	1	12	2	6	0							
334	1	1	12	2	6	0							
335	1	1	12	2	6	0							
336	1	1	12	2	6	0							
337	2	1	13	2	3	1							
338	2	1	13	2	3	1							
339	2	1	13	2	3	1							
340	2	1	13	2	3	1							
341	2	1	13	2	3	1							
342	2	1	13	2	3	1							
343	2	1	13	2	3	1							
344	2	1	13	2	3	1							
345	2	1	13	2	3	1							
346	2	1	13	2	4	1							
347	2	1	13	2	4	1							
348	2	1	13	2	4	1							
349	2	1	13	2	4	1							
350	2	1	13	2	4	1							
351	2	1	13	2	4	1							
352	2	1	13	2	4	1							
353	2	1	13	2	4	1							
354	2	1	13	2	4	1							
355	2	1	13	2	4	1							
356	2	1	13	2	4	1							
357	2	1	13	2	5	1							
358	2	1	13	2	5	1							
359	2	1	13	2	5	1							
360	2	1	13	2	5	1							
361	2	1	13	2	5	1							
362	2	1	13	2	5	1							
363	2	1	13	2	5	1							
364	2	1	13	2	5	1							
365	2	1	13	2	5	1							
366	2	1	13	2	5	1							
367	2	1	13	2	5	1							
368	2	1	13	2	5	1							
369	2	1	13	2	5	1							
370	2	1	13	2	5	1							
371	2	1	13	2	5	1							
372	2	1	13	2	6	0							
373	2	1	13	2	6	0							
374	2	1	13	2	6	0							
375	2	1	13	2	6	0							
376	2	1	13	2	6	0							
377	2	1	13	2	6	0							
378	2	1	13	2	6	0							
379	2	1	13	2	6	0							
380	2	1	13	2	6	0							
381	2	1	13	2	6	0							
382	2	1	13	2	6	0							
383	2	1	13	2	6	0							
384	2	1	13	2	6	0							
385	2	1	14	2	3	1							
386	2	1	14	2	3	1							
387	2	1	14	2	3	1							
388	2	1	14	2	3	1							
389	2	1	14	2	3	1							
390	2	1	14	2	3	1							
391	2	1	14	2	4	1							
392	2	1	14	2	4	1							
393	2	1	14	2	4	1							
394	2	1	14	2	4	1							
395	2	1	14	2	4	1							
396	2	1	14	2	4	1							
397	2	1	14	2	4	1							
398	2	1	14	2	4	1							
399	2	1	14	2	4	1							
400	2	1	14	2	4	1							
401	2	1	14	2	4	1							
402	2	1	14	2	4	1							
403	2	1	14	2	4	1							
404	2	1	14	2	4	1							
405	2	1	14	2	4	1							
406	2	1	14	2	4	1							
407	2	1	14	2	5	1							
408	2	1	14	2	5	1							
409	2	1	14	2	5	1							
410	2	1	14	2	5	1							
411	2	1	14	2	5	1							
412	2	1	14	2	5	1							
